,ratio,sensitiveType
0,0.8542735173981143,White
1,0.0959429992936335,Black
2,0.03190933939375326,Asian-Pac-Islander
3,0.009551303706888609,Amer-Indian-Eskimo
4,0.008322840207610331,Other
5,0.6692054912318418,Male
6,0.33079450876815825,Female
7,0.5888639783790424,White-Male
8,0.2654095390190719,White-Female
9,0.04818648075919044,Black-Male
10,0.04775651853444304,Black-Female
11,0.02128313012499616,Asian-Pac-Islander-Male
12,0.010626209268757103,Asian-Pac-Islander-Female
13,0.005896624796535733,Amer-Indian-Eskimo-Male
14,0.003654678910352876,Amer-Indian-Eskimo-Female
15,0.004975277172077025,Other-Male
16,0.0033475630355333068,Other-Female
17,0.5888639783790424,Male-White
18,0.04818648075919044,Male-Black
19,0.02128313012499616,Male-Asian-Pac-Islander
20,0.005896624796535733,Male-Amer-Indian-Eskimo
21,0.004975277172077025,Male-Other
22,0.2654095390190719,Female-White
23,0.04775651853444304,Female-Black
24,0.010626209268757103,Female-Asian-Pac-Islander
25,0.003654678910352876,Female-Amer-Indian-Eskimo
26,0.0033475630355333068,Female-Other
